"","tnr.test.mean","tpr.test.mean","acc.test.mean","tp.test.mean","fp.test.mean","tn.test.mean","fn.test.mean","ppv.test.mean","f1.test.mean","mmce.test.mean","tnr_train","tpr_train","acc_train","tp_train","fp_train","tn_train","fn_train","ppv_train","f1_train","mmce_train","best_k","predictors","num_predictors"
"2786",0.357142857142857,0.952054794520548,0.85632183908046,69.5,9,5,3.5,0.886038296047286,0.917555682659185,0.14367816091954,0.414285714285714,0.963013698630137,0.874712643678161,703,82,58,27,0.895541401273885,0.928052805280528,0.125287356321839,1,"OverTime StockOptionLevel JobLevelB JobInvolvementB NumCompaniesWorkedB WorkLifeBalanceB",6
"2963",0.357142857142857,0.936986301369863,0.84367816091954,68.4,9,5,4.6,0.884392595547522,0.909523122219386,0.15632183908046,0.471428571428571,0.965753424657534,0.886206896551724,705,74,66,25,0.905006418485237,0.934393638170974,0.113793103448276,1,"OverTime JobLevelB MaritalStatus JobSatisfaction EnviornmentSatisfactionB Education",6
"1284",0.35,0.952054794520548,0.855172413793103,69.5,9.1,4.9,3.5,0.884723549285236,0.916826234919333,0.144827586206897,0.428571428571429,0.963013698630137,0.877011494252874,703,80,60,27,0.897828863346105,0.929279576999339,0.122988505747126,1,"OverTime StockOptionLevel JobLevelB JobInvolvementB NumCompaniesWorkedB",5
"2737",0.35,0.942465753424658,0.847126436781609,68.8,9.1,4.9,4.2,0.883544842117343,0.911867336056536,0.152873563218391,0.478571428571429,0.96027397260274,0.882758620689655,701,73,67,29,0.905684754521964,0.93218085106383,0.117241379310345,1,"OverTime StockOptionLevel JobLevelB MaritalStatus Education WorkLifeBalanceB",6
"4672",0.35,0.936986301369863,0.842528735632184,68.4,9.1,4.9,4.6,0.882964208076922,0.908741084723325,0.157471264367816,0.635714285714286,0.963013698630137,0.910344827586207,703,51,89,27,0.93236074270557,0.94743935309973,0.0896551724137931,1,"OverTime StockOptionLevel JobLevelB JobSatisfaction JobInvolvementB EnviornmentSatisfactionB Education",7
"4679",0.35,0.956164383561644,0.858620689655172,69.8,9.1,4.9,3.2,0.88470134063651,0.918896235270677,0.141379310344828,0.478571428571429,0.975342465753425,0.895402298850575,712,73,67,18,0.907006369426752,0.93993399339934,0.104597701149425,1,"OverTime StockOptionLevel JobLevelB JobInvolvementB NumCompaniesWorkedB EnviornmentSatisfactionB Education",7
"1287",0.342857142857143,0.954794520547945,0.85632183908046,69.7,9.2,4.8,3.3,0.884111345115731,0.917686600270089,0.14367816091954,0.378571428571429,0.967123287671233,0.872413793103448,706,87,53,24,0.890290037831021,0.927117531188444,0.127586206896552,1,"OverTime StockOptionLevel JobLevelB JobInvolvementB WorkLifeBalanceB",5
"1401",0.342857142857143,0.943835616438356,0.847126436781609,68.9,9.2,4.8,4.1,0.882653988887785,0.911962947608551,0.152873563218391,0.4,0.968493150684931,0.877011494252874,707,84,56,23,0.893805309734513,0.92965154503616,0.122988505747126,1,"OverTime JobLevelB MaritalStatus NumCompaniesWorkedB Education",5
"2785",0.342857142857143,0.954794520547945,0.85632183908046,69.7,9.2,4.8,3.3,0.88346496550513,0.917568210870445,0.14367816091954,0.492857142857143,0.973972602739726,0.896551724137931,711,71,69,19,0.90920716112532,0.94047619047619,0.103448275862069,1,"OverTime StockOptionLevel JobLevelB JobInvolvementB NumCompaniesWorkedB Education",6
"2915",0.342857142857143,0.945205479452055,0.848275862068966,69,9.2,4.8,4,0.88272157608761,0.912625505585983,0.151724137931034,0.435714285714286,0.971232876712329,0.885057471264368,709,79,61,21,0.899746192893401,0.934123847167325,0.114942528735632,1,"OverTime StockOptionLevel JobInvolvementB NumCompaniesWorkedB EnviornmentSatisfactionB Education",6
"4879",0.342857142857143,0.941095890410959,0.844827586206897,68.7,9.2,4.8,4.3,0.882289156771613,0.910500523982243,0.155172413793103,0.45,0.968493150684931,0.885057471264368,707,77,63,23,0.901785714285714,0.933949801849406,0.114942528735632,1,"OverTime JobLevelB MaritalStatus NumCompaniesWorkedB EnviornmentSatisfactionB Education WorkLifeBalanceB",7
"6394",0.342857142857143,0.943835616438356,0.847126436781609,68.9,9.2,4.8,4.1,0.882627130424356,0.911984319674036,0.152873563218391,0.642857142857143,0.96986301369863,0.917241379310345,708,50,90,22,0.934036939313984,0.951612903225806,0.0827586206896552,1,"OverTime StockOptionLevel JobLevelB JobSatisfaction JobInvolvementB NumCompaniesWorkedB EnviornmentSatisfactionB Education",8
"1394",0.335714285714286,0.932876712328767,0.836781609195402,68.1,9.3,4.7,4.9,0.879934444676897,0.905320297105304,0.163218390804598,0.471428571428571,0.964383561643836,0.885057471264368,704,74,66,26,0.904884318766067,0.93368700265252,0.114942528735632,1,"OverTime JobLevelB MaritalStatus JobSatisfaction Education",5
"1493",0.335714285714286,0.917808219178082,0.824137931034483,67,9.3,4.7,6,0.878631466858413,0.897279798446545,0.175862068965517,0.692857142857143,0.967123287671233,0.922988505747126,706,43,97,24,0.942590120160214,0.954699121027721,0.0770114942528736,1,"OverTime MaritalStatus YearsAtCompany NumCompaniesWorkedB Education",5
"2788",0.335714285714286,0.952054794520548,0.852873563218391,69.5,9.3,4.7,3.5,0.88284235705822,0.91585939024038,0.147126436781609,0.378571428571429,0.967123287671233,0.872413793103448,706,87,53,24,0.890290037831021,0.927117531188444,0.127586206896552,1,"OverTime StockOptionLevel JobLevelB JobInvolvementB EnviornmentSatisfactionB WorkLifeBalanceB",6
"2974",0.335714285714286,0.952054794520548,0.852873563218391,69.5,9.3,4.7,3.5,0.882129923912624,0.915516816504966,0.147126436781609,0.457142857142857,0.963013698630137,0.881609195402299,703,76,64,27,0.902439024390244,0.931742876076872,0.118390804597701,1,"OverTime JobLevelB MaritalStatus NumCompaniesWorkedB Education WorkLifeBalanceB",6
"4577",0.335714285714286,0.912328767123288,0.819540229885057,66.6,9.3,4.7,6.4,0.877468813389866,0.894405459572886,0.180459770114943,0.735714285714286,0.975342465753425,0.936781609195402,712,37,103,18,0.950600801068091,0.962812711291413,0.0632183908045977,1,"OverTime StockOptionLevel JobLevelB MaritalStatus Age EnviornmentSatisfactionB WorkLifeBalanceB",7
"4586",0.335714285714286,0.928767123287671,0.833333333333333,67.8,9.3,4.7,5.2,0.879869858124452,0.903358020142655,0.166666666666667,0.814285714285714,0.980821917808219,0.954022988505747,716,26,114,14,0.964959568733154,0.972826086956522,0.0459770114942529,1,"OverTime StockOptionLevel JobLevelB MaritalStatus YearsAtCompany JobInvolvementB Education",7
"4664",0.335714285714286,0.927397260273973,0.832183908045977,67.7,9.3,4.7,5.3,0.879931342866973,0.902367261463138,0.167816091954023,0.75,0.973972602739726,0.937931034482759,711,35,105,19,0.953083109919571,0.963414634146341,0.0620689655172414,1,"OverTime StockOptionLevel JobLevelB YearsAtCompany JobInvolvementB Education WorkLifeBalanceB",7
